Symbol,Close,Volume,ADX,RSI,HV,Trend_Score,Stability_Score,Vol_Score,Status,Stability,Confidence,StopLoss_L,StopLoss_H,Target_Put,Target_Call,Passed
PPLPHARMA,179.42,4197930,29.93,32.97,34.34,40.15,14.86,57.0,Trending,Volatile,33.4,170.45,188.39,165.07,193.77,False
GOCLCORP,403.7,31351,13.43,48.84,46.27,73.13,94.21,76.8,Sideways,Stable,82.3,383.52,423.88,371.4,436.0,True
SILVERIETF,213.94,2477025,27.38,37.0,22.33,45.24,34.98,37.06,Trending,Volatile,39.5,203.24,224.64,196.82,231.06,False
SIGNATURE,809.7,265592,21.93,55.39,24.74,56.14,73.07,41.07,Sideways,Stable,59.9,769.22,850.18,744.92,874.48,True
TITAGARH,859.85,356137,10.91,57.97,28.28,78.18,60.16,46.95,Sideways,Stable,64.73,816.86,902.84,791.06,928.64,True
BALRAMCHIN,604.45,295077,13.33,43.09,52.11,73.33,65.47,86.5,Sideways,Stable,72.82,574.23,634.67,556.09,652.81,True
ELLEN,287.25,143971,29.05,43.38,53.03,41.91,66.9,88.03,Trending,Stable,61.13,272.89,301.61,264.27,310.23,False
URBANCO,130.35,1724676,21.71,40.7,51.33,56.58,53.49,85.22,Sideways,Stable,61.07,123.83,136.87,119.92,140.78,True
ARE&M,907.4,1212551,99.0,54.09,39.05,0.0,79.55,64.83,Trending,Stable,44.79,862.03,952.77,834.81,979.99,False
ASTERDM,819.9,170084,16.99,55.53,23.93,66.03,72.35,39.72,Sideways,Stable,63.3,778.9,860.9,754.31,885.49,True
ACMESOLAR,385.25,1381083,25.04,54.99,26.08,49.92,75.06,43.29,Trending,Stable,58.65,365.99,404.51,354.43,416.07,False
HCC,22.37,25643030,14.73,58.7,30.99,70.54,56.51,51.45,Sideways,Stable,61.11,21.25,23.49,20.58,24.16,True
CUB,224.63,1092039,27.01,53.56,47.91,45.98,82.22,79.53,Trending,Stable,67.19,213.4,235.86,206.66,242.6,False
